"_col0","title","type","address","city","state","postalcode","country","region","latitude","longitude","isopening","rundate"
"dc31561","Holiday Inn Express & Suites Nashville SE Antioch","destination charger","201 Crossings Pl Antioch, TN 37013","Antioch","TN","37013","United States","north_america","36.0439915","-86.6480986","false","2022-09-05 12:05:22 PDT"
"limogesfrsupercharger","Limoges Supercharger","supercharger","2 Avenue d'Uzurat  Limoges 87280 France","Limoges","","87280","France","europe","45.86723","1.270344","false","2022-09-05 12:05:22 PDT"
"dc29219","Brecon Retreat - Aberyscir","destination charger","Brecon Retreat Swn Y Nant , Aberyscir,  LD3 9NP United Kingdom, Aberyscir LD3 9NP United Kingdom","Aberyscir","","LD3 9NP","United Kingdom","europe","51.965554","-3.452627","false","2022-09-05 12:05:22 PDT"
"dc42212","Doubletree by Hilton Reading","destination charger","701 Penn St Reading, Pennsylvania 19601","Reading","Pennsylvania","19601","United States","north_america","40.3355055","-75.923357","false","2022-09-05 12:05:22 PDT"
"dc54216","Stonehenge Campsite and Glamping Pods","destination charger","Stonehenge Campsite Berwick St James, Salisbury, Wiltshire SP3 4TQ United Kingdom","Salisbury","Wiltshire","SP3 4TQ","United Kingdom","europe","51.164319","-1.89469","false","2022-09-05 12:05:22 PDT"
"dc31570","Bangalay Luxury Villas","destination charger","30 Staples Street Shoalhaven Heads NSW 2535","Shoalhaven Heads","","NSW 2535","Australia","asia_pacific","-34.850155","150.747814","false","2022-09-05 12:05:22 PDT"
"frankfurtbockenheimer","Frankfurt - Große Bockenheimer Straße","store","Große Bockenheimer Straße 50, 60313 Frankfurt am Main, Germany","Frankfurt","","60313","Germany","europe","50.114966","8.6739","false","2022-09-05 12:05:22 PDT"
"dc29200","City Parking E 61st Street","destination charger","425 E 61st St New York, New York 10065","New York","New York","10065","United States","north_america","40.760289","-73.959501","false","2022-09-05 12:05:22 PDT"
"dc29201","City Parking Garment One Garage","destination charger","155 E 34th St New York, New York 10016","New York","New York","10016","United States","north_america","40.746022","-73.978693","false","2022-09-05 12:05:22 PDT"
"dc30254","Hotel Wildauerhof","destination charger","Sonnleiten 51, 6344 Walchsee, Austria, Walchsee 6344 Austria","Walchsee","","6344","Austria","europe","47.64395","12.291053","false","2022-09-05 12:05:22 PDT"
"miltonkeynesintu","Milton Keynes-Intu","store","38 Intu Midsummer Place Shopping Centre  Milton Keynes  MK9 3BB   Buckinghamshire","Milton Keynes","","MK9 3BB","United Kingdom","europe","52.041116","-0.756245","false","2022-09-05 12:05:22 PDT"
"dc19882","Hotel Villa Saxer","destination charger","Mauerstrasse 24-25, 38640 Goslar, Germany","Goslar","","38640","Germany","europe","51.90989","10.431045","false","2022-09-05 12:05:22 PDT"
"dc43565","South Lodge Hotel","destination charger","South Lodge Brighton Road, Horsham, West Sussex RH13 6PS United Kingdom","Horsham","West Sussex","RH13 6PS","United Kingdom","europe","51.015448","-0.263598","false","2022-09-05 12:05:22 PDT"
"dc19875","Alpin Royal Wellness Refugium & Resort Hotel","destination charger","Via Molini , 98 , 39030 San Giovanni in Valle Aurina, Italy","San Giovanni in Valle Aurina","","39030","Italy","europe","46.988879","11.960475","false","2022-09-05 12:05:22 PDT"
"dc20863","Aurora Spirits","destination charger","Årøybuktneset , 9060  Lyngseidet, Norway","Lyngseidet","","9060","Norway","europe","69.638499","20.344535","false","2022-09-05 12:05:22 PDT"
"dc18548","Fiesta Americana Villas Cancun","destination charger","Blvd. Kukulcan Km. 8.5 Lote 3  Zona Hotelera Cancun, Quintana Roo 77500","Cancun","Quintana Roo","77500","Mexico","north_america","21.138419","-86.751583","false","2022-09-05 12:05:22 PDT"
"dc31512","Chandolin Boutique Hotel","destination charger","Route des Plampras 10, 3961 Chandolin, Switzerland","Chandolin","","3961","Switzerland","europe","46.251725","7.59787","false","2022-09-05 12:05:22 PDT"
"dc56814","Sudopark - drevena dedina","destination charger","Klokocov 404, 023 22 Klokocov pri Cadci, Slovakia","Klokocov pri Cadci","","023 22","Slovakia","europe","49.472128","18.580973","false","2022-09-05 12:05:22 PDT"
"dc56812","Business Center Tesla 2","destination charger","Moldavska cesta 8, 040 11 Kosice, Slovakia","Kosice","","040 11","Slovakia","europe","48.706875","21.245994","false","2022-09-05 12:05:22 PDT"
"dc56810","Kannelloni Restaurant","destination charger","Industriestrasse A 31 Ost 1, 26892 Heede, Germany","Heede","","26892","Germany","europe","52.98537","7.248757","false","2022-09-05 12:05:22 PDT"
"dc17293","Greissing-Design","destination charger","Am Katzenstein 4, 97957 Wittighausen, Germany","Wittighausen","","97957","Germany","europe","49.620521","9.850863","false","2022-09-05 12:05:22 PDT"
"dc32846","El Palacio del Tiempo - Corralejo","destination charger","Km., Irapuato 40 Luis Donaldo Colosio Murrieta Santa Ana Pacueco, Guanajuato 36660","Santa Ana Pacueco","Guanajuato","36660","Mexico","north_america","20.448417","-101.622532","false","2022-09-05 12:05:22 PDT"
"dc29268","Shangri-La Hotel Dubai","destination charger","Sheikh Zayed Rd, Dubai, - United Arab Emirates","Dubai","","","United Arab Emirates","middle_east","25.208462","55.271898","false","2022-09-05 12:05:22 PDT"
"dc32861","Propark 401 W 110th Street","destination charger","401 W 110th St New York, New York 10025","New York","New York","10025","United States","north_america","40.802151","-73.961705","false","2022-09-05 12:05:22 PDT"
"dc32865","Poplar Grove Winery","destination charger","425 Middle Bench Rd N Penticton, British Columbia V2A 8S5","Penticton","British Columbia","V2A 8S5","Canada","north_america","49.512438","-119.573866","false","2022-09-05 12:05:22 PDT"
"dc32867","Best Western Plus Gold Country Inn","destination charger","921 W Winnemucca Blvd Winnemucca, NV 89445","Winnemucca","NV","89445","United States","north_america","40.966158","-117.742659","false","2022-09-05 12:05:22 PDT"
"dc43518","Union Station Garage","destination charger","301 S Meridian St Indianapolis, Indiana 46225","Indianapolis","Indiana","46225","United States","north_america","39.762422","-86.157674","false","2022-09-05 12:05:22 PDT"
"dc17268","Aktivhotel Santalucia","destination charger","Via Santa Lucia, 6, 38069  Torbole sul Garda, Italy","Torbole sul Garda","","38069","Italy","europe","45.87053","10.879576","false","2022-09-05 12:05:22 PDT"
"dc1920","Crater Lake Resort","destination charger","50711  Highway 62 Fort Klamath, Oregon 97626","Fort Klamath","Oregon","97626","United States","north_america","42.684621","-121.973069","false","2022-09-05 12:05:22 PDT"
"weimarsupercharger","Weimar Supercharger","supercharger","Park Inn by Radisson Weimar  1 Kastanienallee, Weimar, 99428","Weimar","","99428","Germany","europe","50.934371","11.289436","false","2022-09-05 12:05:22 PDT"
"smithfieldncsupercharger","Smithfield, NC Supercharger","supercharger","1700 East Market Street Smithfield, North Carolina United States 27577","Smithfield","NC","27577","United States","north_america","35.504972","-78.325441","false","2022-09-05 12:05:22 PDT"
"dc54264","Sleep Inn Sarasota","destination charger","5965 Brookhill Blvd Sarasota, Florida 34232","Sarasota","Florida","34232","United States","north_america","27.33755","-82.449864","false","2022-09-05 12:05:22 PDT"
"dc67579","Hotel Le Vouglans","destination charger","12 Rue des Fossés, Orgelet, 39270 France","Orgelet","","39270","France","europe","46.521661","5.610288","false","2022-09-05 12:05:22 PDT"
"dornosupercharger","Dorno Supercharger","supercharger","A7 Milano-Genova Km 33","Dorno","","","Italy","europe","45.147765","8.990621","false","2022-09-05 12:05:22 PDT"
"dc80549","Tischlerei Krumboeck","destination charger","Eichenstrasse 1, 3385 Gerersdorf, Austria","Gerersdorf","","3385","Austria","europe","48.201422","15.548954","false","2022-09-05 12:05:22 PDT"
"oslonorth","Oslo-North","store","Bekkenstenveien 15 0976 Oslo Norway","Oslo","","976","Norway","europe","59.953026","10.8876333","false","2022-09-05 12:05:22 PDT"
"sindelsdorfsupercharger","Sindelsdorf Supercharger","supercharger","Urthal 4 82404 Sindelsdorf Germany","Sindelsdorf","","82404","Germany","europe","47.728372","11.361923","false","2022-09-05 12:05:22 PDT"
"regensburgostsupercharger","Regensburg-Ost Supercharger","supercharger","Euro Rastpark Regensburg AH Junkersstraße 3 93055 Regensburg Germany","Regensburg","","93055","Germany","europe","48.99469384","12.150694","false","2022-09-05 12:05:22 PDT"
"dc54232","Melia Ria Hotel & Spa","destination charger","Hotel Melia Ria and Spa, Cais da Fonte Nova Lote 5, 3810-200 Aveiro, Portugal","Aveiro","","3810-200","Portugal","europe","40.638359","-8.645191","false","2022-09-05 12:05:22 PDT"
"dc55566","엠버 호텔 제주","destination charger","Jeju-si Sammu-ro 12","Jeju-si","","","South Korea","asia_pacific","33.4897271","126.4878003","false","2022-09-05 12:05:22 PDT"
"dc67542","香格里拉台北遠東國際大飯店","destination charger","106 台北市大安區敦化南路二段201號 B4","大安區","","","Taiwan","asia_pacific","25.026062","121.549558","false","2022-09-05 12:05:22 PDT"
"dc67549","Westfield Doncaster Valet","destination charger","619 Doncaster Road Doncaster VIC 3108","Doncaster","","VIC 3108","Australia","asia_pacific","-37.783296","145.125736","false","2022-09-05 12:05:22 PDT"
"dc19903","Plaza Altavista","destination charger","Av. Altavista  147 Alvaro Obregon, Ciudad de Mexico 01060","Alvaro Obregon","Ciudad de Mexico","1060","Mexico","north_america","19.349466","-99.196728","false","2022-09-05 12:05:22 PDT"
"dc81851","Troia Design Hotel","destination charger","Marina de Troia - Peninsula de Troia s/n, 7570-789 Carvalhal, Grandula, Portugal","Carvalhal, Grandula","","7570-789","Portugal","europe","38.493105","-8.902994","false","2022-09-05 12:05:22 PDT"
"dc80530","Hilton Charlotte University Place","destination charger","8629 JM Keynes Dr Charlotte, North Carolina 28262","Charlotte","North Carolina","28262","United States","north_america","35.3083","-80.750663","false","2022-09-05 12:05:22 PDT"
"dc55551","Icicle Village Resort","destination charger","505 Hwy 2 Leavenworth, Washington 98826","Leavenworth","Washington","98826","United States","north_america","47.589123","-120.672887","false","2022-09-05 12:05:22 PDT"
"dublinamador","Dublin-Amador Plaza","store","6701 Amador Plaza Road Dublin, CA 94568","Dublin","CA","94568","United States","north_america","37.702783","-121.925032","false","2022-09-05 12:05:22 PDT"
"greenriversupercharger","Green River, UT Supercharger","supercharger","River History Museum 1765 East Main  Green River, UT 84525","Green River","UT","84525","United States","north_america","38.993577","-110.140513","false","2022-09-05 12:05:22 PDT"
"slavonskibrodsupercharger","Slavonski Brod Supercharger","supercharger","11 Gospodarska ulica Slavonski Brod, Croatia 35207 Gornja Vrba","Slavonski Brod","","","Croatia","europe","45.17588","18.063641","false","2022-09-05 12:05:22 PDT"
"dc31541","Best Western Winchester","destination charger","1602 Dinah Shore Blvd Winchester, Tennessee 37398","Winchester","Tennessee","37398","United States","north_america","35.200297","-86.0943006","false","2022-09-05 12:05:22 PDT"
"dc18593","Hawthorn Suites by Wyndham Kingsland","destination charger","1323 E King Ave Kingsland, Georgia 31548","Kingsland","Georgia","31548","United States","north_america","30.791597","-81.654403","false","2022-09-05 12:05:22 PDT"
"dc30295","Budget Inn & Suites Ganado","destination charger","203 W York St Ganado, Texas 77962","Ganado","Texas","77962","United States","north_america","29.041398","-96.516627","false","2022-09-05 12:05:22 PDT"
"dc30296","Deep Blue Hotel & Hot Springs","destination charger","Worm Bay Rd Warrnambool  VIC 3280","Warrnambool","","VIC 3280","Australia","asia_pacific","-38.397044","142.473409","false","2022-09-05 12:05:22 PDT"
"dc17263","Strandhotel Duhnen","destination charger","Duhner Strandstrasse 5-7","Cuxhaven","","27476","Germany","europe","53.885126","8.639595","false","2022-09-05 12:05:22 PDT"
"dc43522","Homewood Suites by Hilton Ajax","destination charger","600 Beck Crescent Ajax, Ontario L1Z 1C9","Ajax","Ontario","L1Z 1C9","Canada","north_america","43.857498","-79.00758","false","2022-09-05 12:05:22 PDT"
"dc56828","Acquavilla House","destination charger","Rua do Lagar, Ponte de Assamaca 8, 3100-357 Pombal, Portugal","Pombal","","3100-357","Portugal","europe","39.878289","-8.609671","false","2022-09-05 12:05:22 PDT"
"dc32879","Anchor Beach Inn Crescent City","destination charger","880 US Hwy 101 S Crescent City, California 95531","Crescent City","California","95531","United States","north_america","41.746635","-124.178231","false","2022-09-05 12:05:22 PDT"
"kamensupercharger","Kamen Supercharger","supercharger","Connie's Diner, Schattweg 4, 59174 Kamen, Germany","Kamen","","59174","Germany","europe","51.570195","7.675267","false","2022-09-05 12:05:22 PDT"
"dc714289","日本","destination charger","白馬村北城","399-9301","5191-1","","Japan","asia_pacific","36.699988","137.844878","false","2022-09-05 12:05:22 PDT"
"dc18616","Municipalite Saint-Adelphe","destination charger","150 rue Baillargeon Saint-Adelphe, Quebec G0X 2G0","Saint-Adelphe","Quebec","G0X 2G0","Canada","north_america","46.734465","-72.43188","false","2022-09-05 12:05:22 PDT"
"dc20924","Plaza Cuicuilco","destination charger","Av Insurgentes Sur 3500 Pena Pobre, Manantial Pena Pobre Tlalpan, Distrito Federal 14060","Tlalpan","Distrito Federal","14060","Mexico","north_america","19.297903","-99.181774","false","2022-09-05 12:05:22 PDT"
"dc20922","Walmart Satelite","destination charger","Cto Centro Comercial 19 Cd. Satelite Naucalpan de Juarez, Estado de Mexico 53100","Naucalpan de Juarez","Estado de Mexico","53100","Mexico","north_america","19.515237","-99.231548","false","2022-09-05 12:05:22 PDT"
"dc20923","Sanborn's Masaryk","destination charger","Hegel 345 Chapultepec Morales Miguel Hidalgo, Ciudad de Mexico 11570","Miguel Hidalgo","","11570","Mexico","north_america","19.431708","-99.188316","false","2022-09-05 12:05:22 PDT"
"dc19931","Hotel Fanes","destination charger","Str. Pecei 19","St. Kassian","","39036","Italy","europe","46.572886","11.932089","false","2022-09-05 12:05:22 PDT"
"dc19933","Hedenstugan B&B Hotel","destination charger","Heden 74 , 81740 Bergby, Sweden","Bergby","","81740","Sweden","europe","60.940261","17.04781","false","2022-09-05 12:05:22 PDT"
"dc32936","Marina San Felipe","destination charger","Carretera San Felipe km 4.5 Fondeport San Felipe, Baja California 21850","San Felipe","Baja California","21850","Mexico","north_america","30.98773","-114.824512","false","2022-09-05 12:05:22 PDT"
"dc20919","Fiesta Inn Naucalpan","destination charger","Periferico Norte, s/n Alce Blanco Naucalpan de Juarez, Estado de Mexico 53370","Naucalpan de Juarez","Estado de Mexico","53370","Mexico","north_america","19.479613","-99.230763","false","2022-09-05 12:05:22 PDT"
"dc20914","Hong Kong Disneyland Hotel 香港迪士尼樂園酒店","standard charger","Magic Road, Hong Kong Disneyland Resort, New Territories 新界 香港迪士尼樂園度假區 幻想道","Hong Kong","","","Hong Kong S.A.R., China","asia_pacific","22.308732","114.044058","false","2022-09-05 12:05:22 PDT"
"dc1849","Hyatt Place Charlottesville","destination charger","2100 Bond St Charlottesville, VA 22901","Charlottesville","VA","22901","United States","north_america","38.06574","-78.492423","false","2022-09-05 12:05:22 PDT"
"dc56908","Hotel Les Mouettes","destination charger","9  Cours Lucien Bonaparte, Ajaccio,  20000 France","Ajaccio","","20000","France","europe","41.910296","8.721465","false","2022-09-05 12:05:22 PDT"
"dc19911","Gordon Lodge","destination charger","1420 Pine Dr Baileys Harbor, Wisconsin 54202","Baileys Harbor","Wisconsin","54202","United States","north_america","45.123335","-87.058702","false","2022-09-05 12:05:22 PDT"
"dc17324","Juffing Hotel & Spa","destination charger","Hinterthiersee  79, 6335 Thiersee, Austria","Thiersee","","6335","Austria","europe","47.584664","12.066231","false","2022-09-05 12:05:22 PDT"
"dc19983","Villa Kataya","destination charger","Katajaharjuntie 10","Helsinki","","200","Finland","europe","60.165964","24.85701","false","2022-09-05 12:05:22 PDT"
"dc17310","Sydney Markets","destination charger","250-318 Parramatta Rd Homebush West NSW 2129","Homebush West","","NSW 2129","Australia","asia_pacific","-33.861384","151.06955","false","2022-09-05 12:05:22 PDT"
"dc20960","ABM Parking 13 East 54th Street LLC","destination charger","13-17 E 54th St New York, New York 10022","New York","New York","10022","United States","north_america","40.760648","-73.974193","false","2022-09-05 12:05:22 PDT"
"dc20961","ABM Parking 475 Park Ave South LLC","destination charger","104  E 32nd St New York, New York 10016","New York","New York","10016","United States","north_america","40.745603","-73.98185","false","2022-09-05 12:05:22 PDT"
"bunniksupercharger","Bunnik Supercharger","supercharger","Baan van Fectio 1 3981 HZ Bunnik Netherlands","Bunnik","","3981 HZ","Netherlands","europe","52.061035","5.205139","false","2022-09-05 12:05:22 PDT"
"dc19955","CastaDiva Resort & Spa","destination charger","Via Enrico Caronti, 69, 22020 Blevio, Italy","Blevio","","22020","Italy","europe","45.848235","9.107563","false","2022-09-05 12:05:22 PDT"
"dc20941","Walmart Miramontes","destination charger","Av. H. Escuela Naval Militar 753 Cipreses Ciudad de Mexico, Ciudad de Mexico 04890","Ciudad de Mexico","","4890","Mexico","north_america","19.317387","-99.124788","false","2022-09-05 12:05:22 PDT"
"stamfordsupercharger","Stamford, CT Supercharger","supercharger","2233 Summer Street Stamford, Connecticut United States 06905","Stamford","CT","6905","United States","north_america","41.068704","-73.545495","false","2022-09-05 12:05:22 PDT"
"dc54313","Hotel Maydrit","destination charger","Calle Piragua, 1, 28042 Madrid, Spain","Madrid","","28042","Spain","europe","40.451572","-3.592847","false","2022-09-05 12:05:22 PDT"
"dc42326","Altafulla Mar Hotel","destination charger","Via Augusta, 13-21, 43893 Altafulla, Spain","Altafulla","","43893","Spain","europe","41.135535","1.377477","false","2022-09-05 12:05:22 PDT"
"dc17359","Punta Lara","destination charger","4 Rue de la Noure, La Guérinière 85680 France","La Guérinière","","85680","France","europe","46.960067","-2.260327","false","2022-09-05 12:05:22 PDT"
"dc18690","Coonara Springs Restauarant","destination charger","129 Olinda-Monbulk Rd Olinda VIC 3788","Olinda","","VIC 3788","Australia","asia_pacific","-37.871876","145.380626","false","2022-09-05 12:05:22 PDT"
"dc16024","Sono Apartamentos","destination charger","Avenida Els Tremolencs, 34, 08530 La Garriga, Spain","La Garriga","","8530","Spain","europe","41.698343","2.276347","false","2022-09-05 12:05:22 PDT"
"dc18694","Hôtel Barrière Le Westminster","destination charger","Avenue du Verger, Le Touquet-Paris-Plage, Nord-Pas-de-Calais Picardie 62520 France","Le Touquet-Paris-Plage","Nord-Pas-de-Calais Picardie","62520","France","europe","50.522124","1.591463","false","2022-09-05 12:05:22 PDT"
"dc18688","Storm King Tavern and Golf Club","destination charger","18 Ridge Rd Cornwall, New York 12518","Cornwall","NY","12518","United States","north_america","41.429539","-74.02842","false","2022-09-05 12:05:22 PDT"
"dc29337","Villa Åmot","destination charger","Åmot gard , 6977 Bygstad, Norway","Bygstad","","6977","Norway","europe","61.363807","5.729274","false","2022-09-05 12:05:22 PDT"
"dc28003","Hotel Terme Vena d'Oro","standard charger","via Flacco, 59, 35031 Abano Terme, Italy","Abano Terme","","35031","Italy","europe","45.35115","11.788674","false","2022-09-05 12:05:22 PDT"
"dc30364","Villa Magnolia","destination charger","Oude Domburgseweg 20, 4356 CC  Oostkapelle, Netherlands","Oostkapelle","","4356 CC","Netherlands","europe","51.568291","3.539339","false","2022-09-05 12:05:22 PDT"
"dc17346","Sheraton Four Points Roma CDMX","destination charger","Av. Alvaro Obregon 38, Roma Nte Cuauhtemoc, Ciudad de Mexico 06700","Cuauhtemoc","","6700","Mexico","north_america","19.41863","-99.156484","false","2022-09-05 12:05:22 PDT"
"dc16011","Hotel-Restaurant Marko","destination charger","Kranzlhofenstrasse 70, 9220 Velden am Wörthersee, Austria","Velden am Wörthersee","Kärnten","9220","Austria","europe","46.624552","14.034304","false","2022-09-05 12:05:22 PDT"
"dc16020","Schenströmska Herrgården","destination charger","Schenströms väg 1 , 73060 Ramnäs, Sweden","Ramnäs","","73060","Sweden","europe","59.780543","16.182343","false","2022-09-05 12:05:22 PDT"
"dc53009","Tree House Brewing Company","destination charger","129 Sturbridge Rd Charlton, Massachusetts 01507","Charlton","Massachusetts","1507","United States","north_america","42.136299","-72.012656","false","2022-09-05 12:05:22 PDT"
"dc67646","Marchisio Family Organic Estate","destination charger","Via della Vittoria, 9, 12050 Castellinaldo d'Alba, Italy","Castellinaldo d'Alba","","12050","Italy","europe","44.777136","8.026194","false","2022-09-05 12:05:22 PDT"
"dc29324","Hotel Sant'Agata","destination charger","Via Dei Campi , 8/a, 80061 Massa Lubrense, Italy","Massa Lubrense","","80061","Italy","europe","40.60473","14.37295","false","2022-09-05 12:05:22 PDT"
"dc17339","Quality Hotel Frösö Park","destination charger","Cronstads vag , 83256 Froso Park, Ostersund, Sweden","Froso Park, Ostersund","Jamtland","83256","Sweden","europe","63.192896","14.487094","false","2022-09-05 12:05:22 PDT"
"dc19997","Old Tredegar","destination charger","33 Heol Gwys  Cwm Twrch, Swansea,  SA9 2XG United Kingdom","Swansea","","SA9 2XG","United Kingdom","europe","51.786649","-3.804058","false","2022-09-05 12:05:22 PDT"
"dc29319","Vulpera Golfclub und Feriencenter","destination charger","Via Maistra , 7552 Vulpera , Switzerland","Vulpera","","7552","Switzerland","europe","46.786713","10.28702","false","2022-09-05 12:05:22 PDT"
"dc43682","Brewery House Bed & Breakfast","destination charger","23 King Street, Newton Stewart,  DG86DQ United Kingdom","Newton Stewart","","DG86DQ","United Kingdom","europe","54.963404","-4.485371","false","2022-09-05 12:05:22 PDT"
"dc31633","Best Western Corvallis","destination charger","925 NW Garfield Ave Corvallis, Oregon 97330","Corvallis","Oregon","97330","United States","north_america","44.583596","-123.258703","false","2022-09-05 12:05:22 PDT"
"kingmansupercharger","Kingman, AZ Supercharger","supercharger","Carl's Jr. Kingman 789 W Beale St  Kingman, AZ 86401","Kingman","AZ","86401","United States","north_america","35.191331","-114.065592","false","2022-09-05 12:05:22 PDT"
"dc1823","Marriott's Crystal Shores","destination charger","600 S Collier Blvd Marco Island, Florida 34145","Marco Island","Florida","34145","United States","north_america","25.920085","-81.727577","false","2022-09-05 12:05:22 PDT"
"dc29388","Hotel du Lac Parc & Residence","destination charger","Via Trieste, 32, 38046 Lavarone, Italy","Lavarone","","38046","Italy","europe","45.937872","11.255309","false","2022-09-05 12:05:22 PDT"
"dc30311","Il Gardino","destination charger","2105 W Great Neck Rd Virginia Beach, Virginia 23451","Virginia Beach","Virginia","23451","United States","north_america","36.9050547","-76.0702417","false","2022-09-05 12:05:22 PDT"
"dc31643","Hilton Garden Inn Atlanta/Peachtree City","destination charger","2010 Commerce Dr N Peachtree City, Georgia 30269","Peachtree City","Georgia","30269","United States","north_america","33.4049704","-84.5980861","false","2022-09-05 12:05:22 PDT"
"dc43626","Best Western Plus Hudson I-94","destination charger","1200 Gateway Blvd Hudson, Wisconsin 54016","Hudson","Wisconsin","54016","United States","north_america","44.957555","-92.722507","false","2022-09-05 12:05:22 PDT"
"dc81901","Mojave Desert Heritage & Cultural Center","destination charger","37198 Lanfair Rd Essex, California 92332","Essex","California","92332","United States","north_america","34.9212906","-115.0673344","false","2022-09-05 12:05:22 PDT"
"coomasupercharger","Cooma Supercharger","supercharger","85-91 Commissioner Street Cooma, NWS 2630","Cooma","","NSW 2630","Australia","asia_pacific","-36.235522","149.126794","false","2022-09-05 12:05:22 PDT"
"centurycity","Los Angeles - Century City","store","10250 Santa Monica Blvd Ste. 1340  Los Angeles, CA 90067","Los Angeles","CA","90067","United States","north_america","34.058126","-118.418214","false","2022-09-05 12:05:22 PDT"
"dc28085","Fairfield Inn & Suites by Marriott Little Rock","destination charger","17320 I-30 Benton, Arkansas 72019","Benton","Arkansas","72019","United States","north_america","34.5806529","-92.5819311","false","2022-09-05 12:05:22 PDT"
"dc28077","Comfort Inn & Suites Conway","destination charger","2370  Sanders Rd Conway, Arkansas 72032","Conway","Arkansas","72032","United States","north_america","35.109551","-92.4352167","false","2022-09-05 12:05:22 PDT"
"dc53077","The Parisian Macao 澳門巴黎人酒店","destination charger","The Parisian, Cotai","Cotai","OLF","","Macao S.A.R., China","asia_pacific","22.143765","113.562082","false","2022-09-05 12:05:22 PDT"
"sisteronsupercharger","Sisteron Supercharger","supercharger","1 Allée des Tilleuls,  Sisteron, France","Sisteron","","4200","France","europe","44.226199","5.913554","false","2022-09-05 12:05:22 PDT"
"dc53020","Knockendarroch Hotel","destination charger","Higher Oakfield, Pitlochry, Perthshire PH16 5HT United Kingdom","Pitlochry","Perthshire","PH16 5HT","United Kingdom","europe","56.703645","-3.727347","false","2022-09-05 12:05:22 PDT"
"dc53018","Black Boy Inn","destination charger","Northgate Street, Caernarfon, Gwynedd LL55 1RW United Kingdom, Caernarfon LL55 1RW United Kingdom","Caernarfon","Gwynedd","LL55 1RW","United Kingdom","europe","53.141267","-4.275942","false","2022-09-05 12:05:22 PDT"
"dc80658","Park Tower","destination charger","980 9th St Sacramento, California 95814","Sacramento","California","95814","United States","north_america","38.580905","-121.495496","false","2022-09-05 12:05:22 PDT"
"dc28045","Ericsbergs Slott","destination charger","Gårdskontoret Ericsberg , 64193 Katrineholm, Sweden","Katrineholm","","64193","Sweden","europe","58.932316","16.377209","false","2022-09-05 12:05:22 PDT"
"dc29370","Emirates NBD Meydan","destination charger","Building - P, Meydan, Dubai, United Arab Emirates","Dubai","","","United Arab Emirates","middle_east","25.159723","55.325037","false","2022-09-05 12:05:22 PDT"
"dc31656","Nirvana By The Sea","destination charger","1 Douglas Street Coolangatta QLD 4225","Coolangatta","","QLD 4225","Australia","asia_pacific","-28.1681469","153.5277205","false","2022-09-05 12:05:22 PDT"
"deptfordnjsupercharger","Deptford, NJ Supercharger","supercharger","1750 Deptford Center Road Deptford, New Jersey 08096","Deptford","NJ","8096","United States","north_america","39.833479","-75.097916","false","2022-09-05 12:05:22 PDT"
"dc28038","Hotel The Originals Alteora Site du Futuroscope","destination charger","Avenue du Futuroscope, Chasseneuil-du-Poitou, 86360 France","Chasseneuil-du-Poitou","","86360","France","europe","46.658238","0.364247","false","2022-09-05 12:05:22 PDT"
"dc41056","Champion Parking 113 LLC","destination charger","400 W 113th St New York, New York 10025","New York","New York","10025","United States","north_america","40.80443","-73.961373","false","2022-09-05 12:05:22 PDT"
"dc30330","Edgewater","destination charger","54 Sargood Drive Wanaka 9305","Wanaka","","9305","New Zealand","asia_pacific","-44.695768","169.111467","false","2022-09-05 12:05:22 PDT"
"dc54362","Valldal Fjordhotell","destination charger","Grandegata 30 , 6210 Valldal, Norway","Valldal","","6210","Norway","europe","62.296919","7.257409","false","2022-09-05 12:05:22 PDT"
"fortworthuniversityave","Fort Worth-University Drive","store","275 University Drive, Fort Worth, TX 76107","Fort Worth","TX","76107","United States","north_america","32.755869","-97.36042","false","2022-09-05 12:05:22 PDT"
"dc54368","Finnøy Havstuer","destination charger","Harøyvegen 207 , 6487 Harøy, Norway","Harøy","","6487","Norway","europe","62.803403","6.509735","false","2022-09-05 12:05:22 PDT"
"dc44971","Queen's University - McNeill House","destination charger","40 Lower Albert St Kingston, Ontario K7L 3T8","Kingston","Ontario","K7L 3T8","Canada","north_america","44.223702","-76.499889","false","2022-09-05 12:05:22 PDT"
"dc41062","Summerfield Crossings Golf Club","destination charger","13050 Summerfield Blvd Riverview, Florida 33579","Riverview","Florida","33579","United States","north_america","27.795838","-82.317235","false","2022-09-05 12:05:22 PDT"
"dc55619","PV Parking 40-07 73rd St","destination charger","40-07 73rd St Woodside, New York 11377","Woodside","New York","11377","United States","north_america","40.7464805","-73.8922584","false","2022-09-05 12:05:22 PDT"
"northbendsupercharger","North Bend, WA Supercharger","supercharger","46600 SE North Bend Way North Bend, Washington United States 98045","North Bend","WA","98045","United States","north_america","47.468033","-121.716442","false","2022-09-05 12:05:22 PDT"
"fallschurchsupercharger","Falls Church, VA","supercharger","","Falls Church","VA","","United States","north_america","38.902531","-77.203257","false","2022-09-05 12:05:22 PDT"
"tampawestswannavesupercharger","Tampa, FL - West Swann Avenue Supercharger","supercharger","2100 West Swann Avenue Tampa, Florida United States 33606","Tampa","FL","33606","United States","north_america","27.937128","-82.481121","false","2022-09-05 12:05:22 PDT"
